defect_id,department,system_source,station_code,station_name,chainage_km,track_id,defect_category,defect_description,asset_age_years,overdue_days,hotspot_temp_celsius,estimated_repair_hours,power_block_required,tower_wagon_required,safety_risk_score,target_mpi_score,urgency_level
TDMS-DEF-0001,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.37,LINE_1_SUBURBAN_DN,CONTACT_WIRE_CONDEMNING_WEAR,Contact wire residual diameter worn down to 8.2mm (condemning limit 8.25mm),17.7,7,83.1,3.0,1,1,9,66.4,CRITICAL_EMERGENCY
TDMS-DEF-0002,ELECTRICAL_TRD,TDMS,TLM,Tirusulam,21.8,LINE_4_MAIN_UP,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,3.7,19,56.6,1.5,1,0,3,31.3,ROUTINE_CYCLE
TDMS-DEF-0003,ELECTRICAL_TRD,TDMS,VDR,Vandalur,33.78,3RD_LINE_BIDIRECTIONAL,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,9.0,8,62.8,2.5,1,0,7,47.5,MEDIUM_PLANNED
TDMS-DEF-0004,ELECTRICAL_TRD,TDMS,PV,Pallavaram,22.51,LINE_3_MAIN_DN,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,0.7,8,84.5,3.5,1,1,10,65.7,CRITICAL_EMERGENCY
TDMS-DEF-0005,ELECTRICAL_TRD,TDMS,SKL,Singaperumal Koil,51.82,3RD_LINE_BIDIRECTIONAL,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,17.6,20,73.2,2.0,1,0,5,52.5,MEDIUM_PLANNED
TDMS-DEF-0006,ELECTRICAL_TRD,TDMS,TBMS,Tambaram Sanatorium,27.39,LINE_1_SUBURBAN_DN,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,12.1,5,49.2,1.0,1,0,2,17.6,ROUTINE_CYCLE
TDMS-DEF-0007,ELECTRICAL_TRD,TDMS,GI,Guduvancheri,40.66,LINE_2_SUBURBAN_UP,INSULATOR_FLASHOVER_RISK,Severe pollution & industrial carbon coating on 25kV composite insulator,15.2,1,66.8,2.5,1,0,8,51.3,MEDIUM_PLANNED
TDMS-DEF-0008,ELECTRICAL_TRD,TDMS,MSF,Chennai Fort,1.12,LINE_2_SUBURBAN_UP,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,15.4,0,83.6,1.5,1,0,3,30.7,ROUTINE_CYCLE
TDMS-DEF-0009,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.42,LINE_3_MAIN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,6.3,14,50.9,2.0,1,0,6,42.1,MEDIUM_PLANNED
TDMS-DEF-0010,ELECTRICAL_TRD,TDMS,MBM,Mambalam,11.36,LINE_4_MAIN_UP,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,14.8,9,39.5,1.0,1,0,2,18.6,ROUTINE_CYCLE
TDMS-DEF-0011,ELECTRICAL_TRD,TDMS,CGL,Chengalpattu Junction,59.7,LINE_1_SUBURBAN_DN,INSULATOR_ROUTINE_CLEANING,Scheduled dry cleaning and visual inspection of 25kV bracket insulators,8.3,12,41.8,1.5,1,0,3,23.8,ROUTINE_CYCLE
TDMS-DEF-0012,ELECTRICAL_TRD,TDMS,MMNK,Maraimalai Nagar,47.17,LINE_1_SUBURBAN_DN,ROUTINE_MAST_BONDING_CHECK,Checking track bonding and structure bond continuity,7.7,2,66.8,1.0,1,0,1,14.0,ROUTINE_CYCLE
TDMS-DEF-0013,ELECTRICAL_TRD,TDMS,MPK,Chennai Park,3.48,LINE_3_MAIN_DN,OHE_HEIGHT_STAGGER_ROUTINE,Routine measurement of contact wire height and stagger at masts,10.3,1,72.3,1.5,1,0,3,26.0,ROUTINE_CYCLE
TDMS-DEF-0014,ELECTRICAL_TRD,TDMS,STM,St. Thomas Mount,16.93,LINE_1_SUBURBAN_DN,CANTILEVER_BRACKET_MISALIGN,Cantilever bracket registration arm shifted due to thermal expansion,15.3,0,53.9,2.0,1,0,6,36.8,MEDIUM_PLANNED
TDMS-DEF-0015,ELECTRICAL_TRD,TDMS,VDR,Vandalur,34.4,3RD_LINE_BIDIRECTIONAL,NEUTRAL_SECTION_MAINTENANCE,PTFE short neutral section assembly inspection and arc horn gap setting,13.0,4,41.5,3.5,1,1,10,55.0,CRITICAL_EMERGENCY
TDMS-DEF-0016,ELECTRICAL_TRD,TDMS,MBM,Mambalam,10.59,LINE_3_MAIN_DN,SECTION_INSULATOR_PITTING,Section insulator runner burnt requiring re-alignment and replacement,10.1,8,56.3,2.5,1,1,7,46.0,MEDIUM_PLANNED
