defect_id,department,system_source,station_code,station_name,chainage_km,asset_id,asset_type,defect_category,defect_description,asset_age_years,overdue_days,operating_cycles_thousands,estimated_repair_hours,safety_risk_score,target_mpi_score,urgency_level
SMMS-DEF-0001,S_AND_T,SMMS,STM,St. Thomas Mount,16.9,SIG-STM-77,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,7.7,0,301.3,1.5,3,28.1,ROUTINE_CYCLE
SMMS-DEF-0002,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT-12,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),11.1,7,212.7,2.0,9,60.7,CRITICAL_EMERGENCY
SMMS-DEF-0003,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT-82,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,8.7,7,246.0,2.5,8,56.4,HIGH_PRIORITY
SMMS-DEF-0004,S_AND_T,SMMS,UPM,Urapakkam,37.9,SIG-UPM-75,ELECTRONIC_INTERLOCKING,ELECTRONIC_INTERLOCKING_CARD,Hot standby CPU card transient communication packet loss,5.3,10,137.3,1.5,8,52.0,MEDIUM_PLANNED
SMMS-DEF-0005,S_AND_T,SMMS,GDY,Guindy,15.01,POINT-35,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),14.1,12,17.1,2.0,8,51.1,MEDIUM_PLANNED
SMMS-DEF-0006,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,4.9,37,235.5,2.5,9,83.3,CRITICAL_EMERGENCY
SMMS-DEF-0007,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT-82,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,1.4,7,51.1,2.5,9,48.7,CRITICAL_EMERGENCY
SMMS-DEF-0008,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT-41,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,9.8,3,301.9,2.5,9,61.4,CRITICAL_EMERGENCY
SMMS-DEF-0009,S_AND_T,SMMS,MBM,Mambalam,11.75,SIG-MBM-29,POINT_MACHINE,ROUTINE_POINT_CLEANING_GREASING,"Bi-weekly point cleaning, graphite greasing and switch chair plate check",7.1,15,316.6,1.0,2,35.7,MEDIUM_PLANNED
SMMS-DEF-0010,S_AND_T,SMMS,TBM,Tambaram,29.55,SIG-TBM-95,POWER_SUPPLY,SIGNAL_BATTERY_WATERING,Maintenance of 110V battery bank & electrolyte specific gravity check,12.5,3,247.4,1.5,2,24.8,ROUTINE_CYCLE
SMMS-DEF-0011,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.56,SIG-TBMS-82,POINT_MACHINE,POINT_GROUND_CONNECTION_WEAR,Lock rod slack and stretcher bar clearance out of gauge,2.1,5,267.8,2.5,10,63.2,CRITICAL_EMERGENCY
SMMS-DEF-0012,S_AND_T,SMMS,GDY,Guindy,15.01,POINT-35,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),12.9,0,149.8,2.0,9,52.7,CRITICAL_EMERGENCY
SMMS-DEF-0013,S_AND_T,SMMS,MMNK,Maraimalai Nagar,46.96,POINT-142,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),7.9,0,261.7,2.0,8,51.2,MEDIUM_PLANNED
SMMS-DEF-0014,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.84,POINT-175,POINT_MACHINE,POINT_MACHINE_MOTOR_SLUGGISH,Point machine operation time sluggish (>4.5s vs 3.5s limit),1.3,32,156.0,2.0,9,73.9,CRITICAL_EMERGENCY
