defect_id,department,system_source,station_code,station_name,chainage_km,defect_category,asset_age_years,overdue_days,estimated_repair_hours,safety_risk_score,target_mpi_score,urgency_level,predicted_mpi_score,predicted_urgency_level,priority_rank
SMMS-DEF-0232,S_AND_T,SMMS,TBM,Tambaram,29.14,POINT_GROUND_CONNECTION_WEAR,4.1,81,2.5,10,100.0,CRITICAL_EMERGENCY,99.2,CRITICAL_EMERGENCY,1
SMMS-DEF-0176,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT_GROUND_CONNECTION_WEAR,14.5,49,2.5,10,94.1,CRITICAL_EMERGENCY,93.9,CRITICAL_EMERGENCY,2
SMMS-DEF-0147,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT_GROUND_CONNECTION_WEAR,13.9,42,2.5,10,90.9,CRITICAL_EMERGENCY,90.8,CRITICAL_EMERGENCY,3
SMMS-DEF-0025,S_AND_T,SMMS,GI,Guduvancheri,40.73,AXLE_COUNTER_DRIFT,13.2,30,1.5,10,90.1,CRITICAL_EMERGENCY,89.8,CRITICAL_EMERGENCY,4
SMMS-DEF-0200,S_AND_T,SMMS,TBMS,Tambaram Sanatorium,27.64,POINT_GROUND_CONNECTION_WEAR,2.7,42,2.5,10,89.1,CRITICAL_EMERGENCY,87.7,CRITICAL_EMERGENCY,5
SMMS-DEF-0233,S_AND_T,SMMS,MS,Chennai Egmore,4.32,POINT_MACHINE_MOTOR_SLUGGISH,9.0,56,2.0,8,86.7,CRITICAL_EMERGENCY,86.2,CRITICAL_EMERGENCY,6
TMS-DEF-0262,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,37.18,RAIL_FRACTURE_RISK,8.3,46,3.5,10,86.1,CRITICAL_EMERGENCY,85.8,CRITICAL_EMERGENCY,7
SMMS-DEF-0142,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT_GROUND_CONNECTION_WEAR,10.6,43,2.5,10,84.5,CRITICAL_EMERGENCY,85.2,CRITICAL_EMERGENCY,8
SMMS-DEF-0199,S_AND_T,SMMS,MN,Meenambakkam,20.09,TRACK_CIRCUIT_INSULATION_FAIL,7.1,36,2.0,9,85.7,CRITICAL_EMERGENCY,84.4,CRITICAL_EMERGENCY,9
SMMS-DEF-0006,S_AND_T,SMMS,NBK,Nungambakkam,8.15,POINT_GROUND_CONNECTION_WEAR,4.9,37,2.5,9,83.3,CRITICAL_EMERGENCY,83.0,CRITICAL_EMERGENCY,10
TDMS-DEF-0126,ELECTRICAL_TRD,TDMS,MN,Meenambakkam,20.15,NEUTRAL_SECTION_MAINTENANCE,11.2,40,3.5,10,81.9,CRITICAL_EMERGENCY,82.1,CRITICAL_EMERGENCY,11
SMMS-DEF-0189,S_AND_T,SMMS,MKK,Kodambakkam,9.28,AXLE_COUNTER_DRIFT,9.8,30,1.5,9,83.6,CRITICAL_EMERGENCY,82.0,CRITICAL_EMERGENCY,12
SMMS-DEF-0065,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,7.7,28,2.5,10,80.6,CRITICAL_EMERGENCY,81.3,CRITICAL_EMERGENCY,13
SMMS-DEF-0096,S_AND_T,SMMS,STM,St. Thomas Mount,17.12,POINT_GROUND_CONNECTION_WEAR,11.5,26,2.5,10,82.7,CRITICAL_EMERGENCY,81.3,CRITICAL_EMERGENCY,14
SMMS-DEF-0213,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,9.9,26,2.5,10,80.8,CRITICAL_EMERGENCY,80.8,CRITICAL_EMERGENCY,15
SMMS-DEF-0059,S_AND_T,SMMS,CGL,Chengalpattu Junction,59.7,ELECTRONIC_INTERLOCKING_CARD,5.7,28,1.5,10,71.8,CRITICAL_EMERGENCY,80.7,CRITICAL_EMERGENCY,16
SMMS-DEF-0186,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_MACHINE_MOTOR_SLUGGISH,8.5,23,2.0,10,81.7,CRITICAL_EMERGENCY,80.5,CRITICAL_EMERGENCY,17
SMMS-DEF-0209,S_AND_T,SMMS,SP,Saidapet,12.9,POINT_GROUND_CONNECTION_WEAR,4.1,29,2.5,10,77.5,CRITICAL_EMERGENCY,80.4,CRITICAL_EMERGENCY,18
