defect_id,department,system_source,station_code,station_name,chainage_km,track_id,defect_category,defect_description,asset_age_years,overdue_days,gmt_traffic_load,speed_restriction_kmh,has_active_tsr,estimated_repair_hours,machinery_required,safety_risk_score,target_mpi_score,urgency_level
TMS-DEF-0001,ENGINEERING_CIVIL,TMS,UPM,Urapakkam,36.88,3RD_LINE_BIDIRECTIONAL,BALLAST_DEFICIENCY,Deep screening & shoulder cleaning required,4.3,4,22.7,0,0,4.5,BALLAST_CLEANER_BCM,4,24.5,ROUTINE_CYCLE
TMS-DEF-0002,ENGINEERING_CIVIL,TMS,GI,Guduvancheri,40.8,3RD_LINE_BIDIRECTIONAL,RAIL_FRACTURE_RISK,Fishplate bolt hole crack / micro-fracture near heat zone,9.7,30,19.1,15,1,3.5,EMERGENCY_RAIL_REPLACEMENT,10,74.7,CRITICAL_EMERGENCY
TMS-DEF-0003,ENGINEERING_CIVIL,TMS,MBM,Mambalam,11.3,LINE_1_SUBURBAN_DN,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,3.6,13,40.1,0,0,1.5,MANUAL_GANG_TOOLS,3,28.9,ROUTINE_CYCLE
TMS-DEF-0004,ENGINEERING_CIVIL,TMS,TLM,Tirusulam,20.77,LINE_3_MAIN_DN,IMR_ULTRASONIC_FLAW,Immediate Removal rail flaw detected by USFD trolley,12.3,9,23.4,20,1,3.0,MANUAL_WELDING_GANG,9,57.1,CRITICAL_EMERGENCY
TMS-DEF-0005,ENGINEERING_CIVIL,TMS,SP,Saidapet,12.35,LINE_3_MAIN_DN,RAIL_FRACTURE_RISK,Fishplate bolt hole crack / micro-fracture near heat zone,1.9,1,21.3,30,1,3.5,EMERGENCY_RAIL_REPLACEMENT,10,50.9,CRITICAL_EMERGENCY
TMS-DEF-0006,ENGINEERING_CIVIL,TMS,SP,Saidapet,13.39,LINE_4_MAIN_UP,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,2.4,1,49.4,0,0,1.5,MANUAL_GANG_TOOLS,1,11.8,ROUTINE_CYCLE
TMS-DEF-0007,ENGINEERING_CIVIL,TMS,TBM,Tambaram,28.81,LINE_3_MAIN_DN,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,3.5,0,20.4,0,0,2.0,OFF_TRACK_TAMPER,4,20.8,ROUTINE_CYCLE
TMS-DEF-0008,ENGINEERING_CIVIL,TMS,MBM,Mambalam,11.73,LINE_1_SUBURBAN_DN,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,13.9,20,30.9,50,1,2.5,AT_WELDING_CREW,7,57.1,HIGH_PRIORITY
TMS-DEF-0009,ENGINEERING_CIVIL,TMS,PZA,Pazhavanthangal,18.21,LINE_3_MAIN_DN,WELD_COLLAR_FATIGUE,AT Weld visual defect exceeding permissible tolerance,10.9,9,41.9,50,1,2.5,AT_WELDING_CREW,8,55.1,HIGH_PRIORITY
TMS-DEF-0010,ENGINEERING_CIVIL,TMS,MPK,Chennai Park,3.24,LINE_2_SUBURBAN_UP,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,11.8,12,23.6,0,0,1.5,MANUAL_GANG_TOOLS,2,24.0,ROUTINE_CYCLE
TMS-DEF-0011,ENGINEERING_CIVIL,TMS,SP,Saidapet,13.68,LINE_2_SUBURBAN_UP,RAIL_FLANGE_LUBRICATION,Electronic track lubricator grease replenishment,5.5,0,44.1,0,0,1.0,MANUAL_MAINTENANCE_CREW,1,11.6,ROUTINE_CYCLE
TMS-DEF-0012,ENGINEERING_CIVIL,TMS,MBM,Mambalam,11.8,LINE_3_MAIN_DN,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,4.6,35,25.2,50,1,3.0,RAIL_GRINDING_MACHINE_RGM,7,61.8,HIGH_PRIORITY
TMS-DEF-0013,ENGINEERING_CIVIL,TMS,STM,St. Thomas Mount,16.66,LINE_4_MAIN_UP,RAIL_CORRUGATION_WEAR,Severe rail corrugation and wheel burn marks,14.2,17,39.9,0,0,3.0,RAIL_GRINDING_MACHINE_RGM,4,42.0,MEDIUM_PLANNED
TMS-DEF-0014,ENGINEERING_CIVIL,TMS,SP,Saidapet,12.32,LINE_3_MAIN_DN,BALLAST_PACKING_ROUTINE,Routine manual off-track shoulder ballast packing,7.1,2,37.8,0,0,2.0,OFF_TRACK_TAMPER,3,22.5,ROUTINE_CYCLE
TMS-DEF-0015,ENGINEERING_CIVIL,TMS,MBM,Mambalam,12.09,LINE_2_SUBURBAN_UP,ROUTINE_FISHPLATE_GREASING,Periodic greasing of fishplates and checking torque bolts,8.1,2,43.7,0,0,1.5,MANUAL_GANG_TOOLS,1,14.2,ROUTINE_CYCLE
